name,CAS,LF,Standard,Dyetype,class,properties
Name:C.I.Disperse Blue 181,,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  colourful green light blue. Dark blue powder, insoluble in water. The strong sulfuric acid in orange, diluted into blue; Insurance powder with reduction of dark purple. Difficulties can dissolve in three chlorobenzene and organic solvents. Mainly used for polyester/cotton fabric dyeing."
Name:C.I.Disperse Blue 180,,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Navy blue
Name:C.I.Disperse Blue 176,,4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  green light blue.
Name:C.I.Disperse Blue 175,,5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications: 
Name:C.I.Disperse Blue 174,,5,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light navy blue.
Name:C.I.Disperse Blue 173,,5,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light navy blue.
Name:C.I.Disperse Blue 167,,4-5,AATCC,DisperseDye,"Molecular Structure:  Azo class,anthraquinones",Properties and Applications:   red light navy.
Name:C.I.Disperse Blue 166,,4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
"Name:C.I.Disperse Blue 165,C.I.11077",,4,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:   blue. Dark blue powder. In dyeing copper and iron ions were no change color. Used for polyester and their blended fabric dyeing, the dye color is gorgeous, lifting force is high, the sun and the sublimation fastness are better, and is suitable for high temperature and high pressure, the pure polyester/cotton dyeing and polyester melt knot dyeing, is more sensitive to temperature, hot melt temperature is higher, the color quantity is deep, defect is colored steep curve. For dyed three vinegar fiber an appropriate increase in dyeing temperature, than for polyester a red light. Acrylic dyeing to blu-ray gray. Not dyed acetate fiber and nylon. Can be used to paint acrylic and cellulose triacetate fiber fabric direct printing, discharge printing can also make the background color. Suitable for dyeing and paint superfine printing."
Name:C.I.Disperse Blue 158,,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
Name:C.I.Disperse Blue 149,,,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  Green light blue.
"Name:C.I.Disperse Blue 148,C.I.11124",,,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  blue, red light blue."
Name:C.I.Disperse Blue 146,,,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light navy blue.
Name:C.I.Disperse Blue 144,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
Name:C.I.Disperse Blue 143,,4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Brilliant green light blue.
Name:C.I.Disperse Blue 142,,4-5,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  navy blue.
Name:C.I.Disperse Blue 139,,2,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   red light navy blue.
"Name:C.I.Disperse Blue 134,C.I.61551",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue. And C.I. Solvent Blue 36 the same chemical structure.
Name:C.I.Disperse Blue 130,,3-4,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  navy blue.
Name:C.I.Disperse Blue 128,,,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   red light blue
"Name:C.I.Disperse Blue 127,C.I.630300",,5,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
"Name:C.I.Disperse Blue 125,C.I.110176",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  navy blue, red light navy blue."
"Name:C.I.Disperse Blue 124,C.I.111938",,3,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  Brilliant blue
Name:C.I.Disperse Blue 122,,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  navy blue.
Name:C.I.Disperse Blue 118,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  green light blue
Name:C.I.Disperse Blue 113,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  red light blue.
Name:C.I.Disperse Blue 109,,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
Name:C.I.Disperse Blue 108,,3-4,AATCC,DisperseDye,Molecular Structure:  amino-naphtho quinone class,Properties and Applications:  Brilliant blue. The chemical structure and C.I. Disperse blue 58 the same.
"Name:C.I.Disperse Blue 107,C.I.112257",,5,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
Name:C.I.Disperse Blue 105,,3-4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
Name:C.I.Disperse Blue 104,,4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  dark blue
Name:C.I.Disperse Blue 103,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
"Name:C.I.Disperse Blue 102,C.I.111945",,,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  blue. Red light blue. Dark blue uniform powder. Applied to the vinegar fiber and three vinegar fiber dyeing and printing, for the red light blue light, lifting force. Used for discharge impression, not suitable for the alkaline dyed bath. And C.I.Disperse blue 82 the same chemical structure."
Name:C.I.Disperse Blue 99,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  green light blue.
"Name:C.I.Disperse Blue 96,C.I.112257",,,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  blue.
Name:C.I.Disperse Blue 95,,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  Brilliant blue,blue"
"Name:C.I.Disperse Blue 94,C.I.11343",,4,ISO,DisperseDye,Molecular Structure: ,"Properties and Applications:  navy blue, red light navy blue."
Name:C.I.Disperse Blue 91,,6,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue
"Name:C.I.Disperse Blue 90,C.I.11343",,2-3,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  blue.
"Name:C.I.Disperse Blue 87,C.I.668305",,4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:   bright blue, bright green light blue. Black powder. Insoluble in water, soluble in ethanol, soluble in DMF and pyridine, slightly soluble in methanol. Used for polyester and their blended fabric dyeing and printing, bright color, good color fastness, colored light for green light blue. Can also be used for the polyester/cotton blended dyeing of a bath. This product can also be used to vinegar fiber dyeing, in three vinegar fine in a bit deep bright blue."
"Name:C.I.Disperse Blue 85,C.I. 11370",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:   red light navy blue. Dark blue powder, insoluble in water. Mainly used for polyester and their blended fabric dyeing, red for the navy, artificial light in a dark red. Suitable for high pressure and high temperature melt method dyeing."
"Name:C.I.Disperse Blue 83,C.I.617510",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  green light blue.
"Name:C.I.Disperse Blue 82,C.I.111195",,4,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  red light blue, blue. And C.I. Disperse blue 102 the same chemical structure."
"Name:C.I.Disperse Blue 81,C.I.63603",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  dark blue. Dark blue powder. Used for polyester and their blended fabric dyeing and printing, colored light dark blue, lifting force high, and is suitable for dyeing of high temperature and high pressure, good levelness, of acid-base stability. Dye vinegar when dark blue color fiber, deep with better properties, sensitive to temperature. Dyeing nylon polyester colourful bright color than, dye deep the gender is good. The colored light and acrylic dyeing nylon similar, deep dyed better properties. Can also be used for the polyester, polyamide, two vinegar of foreign direct printing."
"Name:C.I.Disperse Blue 79,C.I.11345",,4,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  red light navy blue, navy blue. Blue gray powder, soluble in acetone. In dyeing of iron ion basically no influence on color, copper ions in great influence, the alkali sensitive, dye bath pH for 5 ~ 6. The dye is suitable for high temperature and high pressure dyeing, dyeing deep color, sublimation fastness is better, the high temperature can finalize the design, when the piece dyed levelness slightly less. In three vinegar fiber dyeing, slant red light, not suitable for two vinegar fiber dyeing. Acrylic and polyester fiber, with the dye printing, color is not enough gaudy. And with plasma reactive dye printing, colored light can change."
"Name:C.I.Disperse Blue 77,C.I.60766",,4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Dark blue.
Name:C.I.Disperse Blue 75,,,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  navy blue. Dark blue powder. Used for polyester and their blended fabric dyeing and printing.
"Name:C.I.Disperse Blue 73,C.I.63265",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Dark blue powder. Soluble in ethanol and acetone. In dye in bath of iron, copper ion to the colored light have influence. With the appropriate pH value for bath 3 ~ 9, in dyeing and printing of its ability. The dyes bright light, and the fastness is good, can dye shallow, middle and dark, hot and solid color temperature range is wide, dyeing temperature less effect. With high temperature and high pressure dyeing, even dye the gender is poorer. In the vinegar, polyamide fiber on dyeing, its color and polyester similar, but color rate is low. But in the polyester/cotton blended fabric printing directly, cannot be printing the impression of the discharge."
"Name:C.I.Disperse Blue 72,C.I.60725",,3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light blue. Violet black powder. Soluble in ethanol, acetone and benzene. The strong sulfuric acid dyes in the dark for, diluted into olive green, red and blue precipitation. Dyeing iron ion in the same light, copper ions in larger changes. Used for polyester and their blended fabric dyeing, purple or red light blue for blu-ray, dye deep sex good, levelness poor. Suitable for high temperature and high pressure dyeing method, mainly used for dyeing pure polyester. Dyeing products have hot pressing discoloration shortcomings. Dye polyester/stick blended, can with reactive dyes or the direct dyes with bath. Can be used as a transfer printing dye. Can be used for dyeing three vinegar fiber, the dyeing speed is slow, levelness medium, dye deep the gender is good. Used for polyester fiber fabric or three vinegar direct printing, does not make the impression of discharge printing. And C.I. Solvent Violet  13 the same chemical structure."
Name:C.I.Disperse Blue 64,,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Red light blue
Name:C.I.Disperse Blue 62,,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  dark green light blue
"Name:C.I.Disperse Blue 60,C.I.61104",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  colourful green light blue. Blue powder, soluble in acetone. In dye bath of iron ion in that dark colored. Dye bath appropriate pH value for 3 ~ 5, in dyeing and printing not alkali resistance. The dye for green light blue emerald green light, in the dying as the colourful dye, dye deep sex general, to give priority to with light color, and the fastness passable, have good fastness and dry hot sun fastness, suitable for high temperature and high pressure melt method, carrier dyeing of general performance. In three vinegar on fiber dyeing, colored light and polyester similar. Can be used for polyester/cotton blended fabric printing directly, cannot be used as printing the impression of the discharge."
"Name:C.I.Disperse Blue 58,C.I.56062",,3-4,ISO,DisperseDye,Molecular Structure:  amino-naphtho quinone class,"Properties and Applications:  bright blue. Navy powder. Slightly soluble in benzene and carbon tetrachloride, soluble in acetone, ethanol, ethyl glycol. The strong sulfuric acid for light brown olivaceous, diluted to blue. In dye bath of copper, iron ion in light of a certain effect. Dyeing appropriate pH value for 5 ~ 6. The dyes melt method of solid color rate is very low, it is hard to be dyed dark, can only be used for lake blue.Used for dyeing acetate fiber, can be obtained green cobalt blue, even dye rate, dye deep sex are better. Dyed dark, wet process fastness is poorer. Dyed fiber can get three vinegar blue-green light, high temperature and high pressure to dye the dark staining. The dyes can be used for polyester fiber fabric and vinegar direct printing."
"Name:C.I.Disperse Blue 56,C.I.63285",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Dark blue powder. The strong sulfuric acid for green light yellow, red blue for diluted. In dye bath of iron, copper ions in light of basic no effect. Dye bath appropriate pH value for 2 ~ 9, in dyeing and printing of its ability.This dye shade Brilliant Blue, widely used in the main color dye, the sun is good fastness. Suitable for high temperature and high pressure, the melt method and dyeing, hot melt temperature for low temperature type. In the vinegar on fiber dyeing, the dyeing rate is relatively slow, for the red light blue. The fiber dyeing levelness general, dye deep the gender is good, colored light for red light blue. Acrylic dyeing properties of the general. Can be used in vinegar fiber, polyamide, polyester fabric printing directly, cannot be printing the discharge impression."
Name:C.I.Disperse Blue 54,,4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Blue
"Name:C.I.Disperse Blue 40,C.I.63302",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Brilliant Blue
"Name:C.I.Disperse Blue 38,C.I.11430",,,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   dark green light blue and green light navy blue.
Name:C.I.Disperse Blue 35,,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  Blue, dark blue."
"Name:C.I.Disperse Blue 34,C.I.61510",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue. Slightly soluble in water.
"Name:C.I.Disperse Blue 31,C.I.64505",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Brilliant Blue
"Name:C.I.Disperse Blue 28,C.I.62065",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Soluble in acetone, ethanol, and benzene."
"Name:C.I.Disperse Blue 27,C.I.60767",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue.
"Name:C.I.Disperse Blue 26,C.I.63305",,3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Navy powder. Soluble in ethanol, acetone, linseed oil and benzene. The strong sulfuric acid for green light yellow, diluted into red light blue. In dye bath of iron ion in light of no effect, copper ions in light of big effect. Dye bath appropriate pH value for 5~9, in the dying when its ability to spend. The color of the dyes for sky blue, fair levelness and color fastness to the medium, dyed dark is better. Suitable for high temperature and high pressure and carrier method, hot to dissolve only suitable for dyeing with light color. In  acetate fiber on dyeing shade brilliant light., but coloring slower. In three vinegar on fiber dyeing color no in two vinegar on fiber colourful bright, in the fiber dyeing, colored light and three vinegar fiber similar. But in polyester fabric fiber and directly on printing, cannot be printing the impression of the discharge."
"Name:C.I.Disperse Blue 24,C.I.61515",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Soluble in acetone, ethanol and benzene."
"Name:C.I.Disperse Blue 23,C.I.61545",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. For the strong sulfuric acid in purplish red, for purple diluted."
"Name:C.I.Disperse Blue 22,C.I.60715",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light blue. Soluble in acetone, ethanol, benzene and benzene. The strong sulfuric acid for orange brown, diluted to blue."
"Name:C.I.Disperse Blue 20,C.I.56062",,3-4,ISO,DisperseDye,Molecular Structure:  amino-naphtho quinone class,"Properties and Applications:  blue. Blue-black uniform powder. Insoluble in water, slightly soluble in acetone, acetic acid, carbon tetrachloride, soluble in acetone, ethanol, glycol single ethyl ether, in ethanol for blue. The strong sulfuric acid in yellow or brown, after dilution of dark precipitation. In dyeing copper and iron ion color change. Used for polyester and their blended fabric dyeing and printing, for green light blue emerald green. The low power points, dye deep sex differences. High temperature and high pressure method is suitable for dyeing polyester. The dyes in high temperature alkaline conditions can decompose, dye bath appropriate pH value for 5 ~ 6, with carrier will affect dyeing of sun fastness, dyeing hot to dissolve solid color rate is low. For dyed fiber green light blue for two vinegar, colour and lustre is colourful bright, the dyeing speed, have very good devoured rate, levelness and dye deep sex all good, but the dye deep wet process fastness is poorer. Three vinegar fiber dyed blue green light when the dyeing speed and dye deep sex medium. This product can also be used for direct printing polyester fabric."
"Name:C.I.Disperse Blue 19,C.I.61110",,3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light blue. Soluble in acetone, ethanol, benzene and soluble fiber element, slightly soluble in carbon tetrachloride. The strong sulfuric acid as dark blue light in purple, dilute dark after precipitation."
"Name:C.I.Disperse Blue 15,C.I.11435",,,C,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  green light blue. The strong sulfuric acid for brown, after dilute for blu-ray gray; In the 10% 10% of sulfuric acid and sodium hydroxide solution color."
"Name:C.I.Disperse Blue 14,C.I.61500",,2-3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue. Blue powder. Soluble in acetone, glacial acetic acid, the difficulties, pyridine and toluene. The strong sulfuric acid to red light brown. Used for polyester, vinegar and polyamide fiber dyeing, also can be used to transfer printing. And is fit for manufacturing fireworks fireworks hair color components. Can also be used in such of surface colouring and plastic."
"Name:C.I.Disperse Blue 11,C.I.11260",,,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  navy blue.
"Name:C.I.Disperse Blue 9,C.I.61115",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Blue
"Name:C.I.Disperse Blue 8,C.I.60742",,,A,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:   Red blue.
"Name:C.I.Disperse Blue 7,C.I.62500",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  colourful green light blue. Soluble in acetone, ethanol, carbon tetrachloride and soluble fiber element, slightly soluble in benzene and linseed oil. The strong sulfuric acid as dark blue light in red, for light blue after diluted."
"Name:C.I.Disperse Blue 6,C.I.62050",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Brilliant blue
"Name:C.I.Disperse Blue 5,C.I.62035",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  Brilliant Blue
"Name:C.I.Disperse Blue 3,C.I.61505",,3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  Bright blue. Soluble in acetone, ethanol, soluble fiber element and benzene, slightly soluble in carbon tetrachloride, insoluble in special solvent, tao. The strong sulfuric acid for brown, diluted into a dark red. Suitable for vinegar fiber and three vinegar fiber, polyamide, acrylic dyeing and printing. Although can be used for polyester, but lifting force and the sun to prison Degree is not good. Can be used for the thermoplastic color. exist"
"Name:C.I.Disperse Blue 1,C.I.64500",,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  Blue. Soluble in acetone, ethanol, soluble fiber element, slightly soluble in benzene and linseed oil, the strong sulfuric acid for brown, diluted becomes shallow. And C.I. Solvent Blue 18 the same chemical structure"
"Name:C.I.Disperse Violet 91,C.I.113381",,5,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light purple
"Name:C.I.Disperse Violet 77,C.I.113382",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light purple. Deep purple powder. Used for polyester and their blended fabric dyeing and printing. For the red light purple color.
Name:C.I.Disperse Violet 69,,3,ISO,DisperseDye,Molecular Structure:Single azo class ,Properties and Applications:  purple.
"Name:C.I.Disperse Violet 63,C.I.11336",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  red light purple. Purple powder. In dye bath of iron ion in light of no effect. Dye of appropriate bath pH value for 5 ~ 6, the alkali sensitive.this dye guangyan purple, and the fastness is good, good color fastness sublimation, can shallow, middle and dark dye, the color spell good sex, applicable to all kinds of dyeing methods. In the vinegar fiber, nylon, acrylic dyeing and compared on polyester, with a red light, dye deep the gender is poorer. In polyester/cotton fabric can be directly on printing, may also be the impression of the discharge printing."
"Name:C.I.Disperse Violet 62,C.I.63355",,5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:   purple. Soluble in pyridine, xylene. The strong sulfuric acid for blu-ray green, heat into yellow, purple precipitation after diluted; In insurance powder, alkaline for red light brown, acid for dark red. And C.I.Vat Violet 15 the same chemical structure."
Name:C.I.Disperse Violet 57,,4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  blue purple, red light purple."
"Name:C.I.Disperse Violet 52,C.I.112290",,,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   blu-ray red.
"Name:C.I.Disperse Violet 51,C.I.62165",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:Blue light purple. And C.I. Acid Violet 51 the same chemical structure.
Name:C.I.Disperse Violet 48,,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   purple.
Name:C.I.Disperse Violet 46,,4-5,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue purple.
Name:C.I.Disperse Violet 43,,,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  Red light purple. Used for the polyester fabric dyeing and printing, also can be used in the vinegar fiber, three vinegar fine red light for purple."
"Name:C.I.Disperse Violet 40,C.I.11218",,3,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   red light Violet and blue light Violet. Structure and C.I. Disperse Violet 33 and the same.
Name:C.I.Disperse Violet 38,,3-4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  violet
Name:C.I.Disperse Violet 37,,3,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  red light purple.
Name:C.I.Disperse Violet 36,,3-4,AATCC,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:   red violet
Name:C.I.Disperse Violet 35,,4-5,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red violet, violet."
"Name:C.I.Disperse Violet 33,C.I.11218",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:   red light purple. Sauce red powder. Dye bath of iron, copper ions in light of the impact is not big. Dye bath appropriate pH value for 5 ~ 7, after dyeing and printing to alkali resistance. The color of the dyes for yellow red jade, levelness medium, coverage is better, and is suitable for dyeing of high temperature and high pressure, the dyeing speed faster. Can also be used to melt method dyeing, hot melt appropriate temperature of 210 ~ 220 ℃, the carrier is not suitable for dyeing method. In the two vinegar on fine performance is, in three vinegar fine performance on compatible, the dyeing properties of the fiber in bad. Can two vinegar in fiber, three vinegar polyester fabric fiber or directly on printing. Available for ferrie sulfate-potassium thiosulfate white agent, for printing the discharge of the white color. And C.I. Disperse Violet 40 chemical structure is the same."
"Name:C.I.Disperse Violet 31,C.I.62025",,3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light purple. brown-red powder, soluble in alcohol. The strong sulfuric acid in colorless, diluted red for yellow light. In dyeing calcium and magnesium ions not sensitive, encounter iron ion colored light slightly influence, copper ions in big effect. Dye bath appropriate pH value for 3 to 8, in dyeing and printing not alkali resistance. The dyes red light for purple, suitable for polyester/cotton blended fabric dyeing, and have a good color fastness to dry. Suitable for high temperature high pressure and hot melt dyeing method, hot melt temperature of 210 ~ 220 ℃. In three vinegar on fiber dyeing, colored light and polyester similar, is not suitable for dyeing two vinegar fiber, polyamide fiber and acrylic. But in polyester fabric weaving direct printing, cannot be printing the impression of the discharge. And Disperse Violet 26 and the same chemical structure."
"Name:C.I.Disperse Violet 28,C.I.61102",,2-3,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright purple. Dark purple powder. Soluble in ethanol, acetone, benzene. For the strong sulfuric acid in dark brown, diluted into purple. Dyeing of iron ion in color no effect, encounter copper ions have influence. Used for polyester, two vinegar fiber, three vinegar, polyamide fiber fabric such as dyeing or printing. The bright red dye polyester get purple, has the high insolation fastness, of acid-base stability. Dye bath appropriate pH value for 3 ~ 9, good levelness, dye deep sex differences, mainly used for light. Hot melt knot dyeing solid color rate is low, hot melt temperature should not exceed 190 ℃, sublimation fastness is poorer. Mainly used for polyester knitted fabric made of high temperature and high pressure, the dyeing of dyeing."
"Name:C.I.Disperse Violet 27,C.I.60724",,2-3,AATCC,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light purple to blue light purple. Purple powder. Dye in bath of iron, copper ion to the colored light no effect. Dye bath appropriate pH value for 3 ~ 7, in dyeing and printing ability weak alkali when. The color red dye for purple, and all the good fastness, suitable for dyeing shallow, color, dark dye, sublimation fastness is poorer, suitable for high temperature and high pressure and dyeing of carrier, hot melt dyeing method performance in general. In the vinegar fiber, polyamide, nylon 6 and nylon 66 on dyeing, colored light and polyester similar, but coloring rate is low, can be in polyester/cotton fabric printing directly, cannot be printing the impression of the discharge."
"Name:C.I.Disperse Violet 26,C.I.62025",,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  red light purple. Reddish brown powder, soluble in alcohol. The strong sulfuric acid in colorless, diluted red for yellow light. In dyeing calcium and magnesium ions not sensitive, iron ion in a slight influence, copper ions in big effect. Dyeing appropriate pH value for 3 to 8, dyeing and printing not alkali resistance. The dyes red light for purple, suitable for polyester and blended fabric dyeing and printing, and have a good color fastness to dry, suitable for high temperature and high pressure and hot melt dyeing method. Hot melt dyeing appropriate temperature of 200 ~ 210 ℃. In three vinegar on fiber dyeing color and polyester similar. Not suitable for two vinegar fiber, polyamide, acrylic. In polyester fabric can be directly on printing, cannot be printing the impression of the discharge."
"Name:C.I.Disperse Violet 24,C.I.11200",,,AATCC,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  blue purple.
"Name:C.I.Disperse Violet 23,C.I.60724",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,Properties and Applications:  blue purple.
"Name:C.I.Disperse Violet 17,C.I.60712",,,AATCC,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  blue light pink to red purple. For the dyeing of polyester and blended fabrics. Can also be used for the dyeing of acetate and cellulose acetate, suitable for transfer printing. As an intermediate depth of processing can be produced dispersed, solvent dyes."
"Name:C.I.Disperse Violet 15,C.I.61100",,,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue purple. Soluble in acetone, ethanol, benzene and linseed oil. The strong sulfuric acid to dark brown light yellow, diluted change qing dynasty."
"Name:C.I.Disperse Violet 13,C.I.11195",,,C,DisperseDye,Molecular Structure:  Single azo class,"Properties and Applications:  bright purple. Soluble in ethanol and acetone is a deep red, soluble in benzene and pottery, especially solvent. The strong sulfuric acid for brown, diluted for blu-ray red; In the thick of the same color sodium hydroxide solution."
"Name:C.I.Disperse Violet 12,C.I.11120",,4-5,ISO,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:  red light purple.
"Name:C.I.Disperse Violet 8,C.I.62030",,3-4,ISO,DisperseDye,Molecular Structure:  anthraquinones,"Properties and Applications:  bright blue purple. Dark blue powder. Soluble in ethanol, acetone and benzene. The strong sulfuric acid dyes for brown, diluted into blue purple. Dyeing meet copper, iron ions become lighter in color, a red light. Used for polyester and their blended fabric dyeing, also can be used in the vinegar fiber, three vinegar fiber, acrylic and polyamide fiber dyeing. Can also be used for the plastic coloring and dyes as solvent. This product is suitable for dyeing of high temperature and high pressure, the dyeing speed medium, levelness and dye deep sex are good. polyester / wool dyeing method for carrier, but the sun fastness are lower class I, polyester/cotton blended with suitable for in light color. Two vinegar fiber dyed red to blue, the dyeing speed faster, the levelness and dye deep sex are preferable, and is suitable for dyeing fastness of the sun higher fabric, dyed fiber is red light three vinegar, dyeing nylon colored light is blue, levelness and dye deep sex all good, acrylic dyeing color and two vinegar similar fibre, the dyeing rate is low, with only light color. Often used for direct printing polyester fabric. Also used in two vinegar fiber, three vinegar fiber fabric printing of polyamide or directly, cannot be the impression of discharge printing."
"Name:C.I.Disperse Violet 7,C.I.11410",,,C,DisperseDye,Molecular Structure:  Single azo class,Properties and Applications:   blue purple.
